harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,kamar_tidur_art,kamar_mandi_art
770000,  Balikpapan Selatan,90.0,108.0,SHM,Non-furnished,2,1,900.0,0,0
1840000,  Balikpapan Selatan,150.0,150.0,SHM,Semi-furnished,4,3,2200.0,0,0
1500000,  Balikpapan Utara,105.0,154.0,SHM,Non-furnished,4,4,2200.0,0,0
555000,  Kariangau,148.0,171.0,HGB,Non-furnished,2,2,2200.0,0,0
990000,  Balikpapan Utara,170.0,180.0,SHM,Non-furnished,4,3,2200.0,0,0
1050000,  Balikpapan Utara,110.0,225.0,SHM,Semi-furnished,2,1,2200.0,0,1
650000,  Balikpapan Utara,106.0,140.0,SHM,Non-furnished,3,2,2200.0,0,0
800000,  Balikpapan Selatan,77.0,200.0,SHM,Non-furnished,2,2,1300.0,0,0
4250000,  Batu Ampar,350.0,770.0,SHM,Non-furnished,5,6,4400.0,0,0
1750000,  Gn. Samarinda,260.0,150.0,SHM,Non-furnished,14,5,4400.0,0,0
400000,  Balikpapan Selatan,36.0,72.0,HGB,Non-furnished,2,1,1300.0,0,0
880000,  Balikpapan Selatan,54.0,106.0,SHM,Fully-furnished,2,2,2200.0,0,0
5000000,  Balikpapan Tengah,280.0,460.0,SHM,Non-furnished,5,3,3500.0,0,0
885000,  Balikpapan Timur,138.0,90.0,SHM,Fully-furnished,3,3,2200.0,0,0
650000,  Balikpapan Timur,46.0,120.0,PPJB,Non-furnished,2,1,1300.0,0,0
1400000,  Balikpapan Utara,104.0,150.0,SHM,Non-furnished,6,3,2200.0,0,0
1000000,  Balikpapan Selatan,67.0,160.0,SHM,Non-furnished,2,1,2200.0,0,0
1550000,  Balikpapan Selatan,70.0,140.0,SHM,Non-furnished,3,2,2200.0,0,0
827000,  Balikpapan Selatan,63.0,120.0,SHM,Non-furnished,2,1,2200.0,0,0
1650000,  Balikpapan Utara,70.0,144.0,SHM,Semi-furnished,2,1,2200.0,0,0
1150000,  Balikpapan Selatan,130.0,150.0,SHM,Semi-furnished,3,2,2200.0,0,0
4000000,  Balikpapan Selatan,210.0,200.0,SHM,Semi-furnished,6,6,4400.0,0,0
25000000,  Balikpapan Selatan,1600.0,1060.0,SHM,Fully-furnished,15,15,16500.0,0,0
4800000,  Balikpapan Utara,400.0,450.0,SHM,Fully-furnished,3,3,2200.0,2,1
2930000,  Balikpapan Tengah,200.0,220.0,HGB,Non-furnished,4,2,2200.0,0,0
2089999,  Balikpapan Selatan,268.0,183.0,SHM,Semi-furnished,4,2,3500.0,0,0
1000000,  Balikpapan Selatan,127.0,107.0,HGB,Semi-furnished,4,2,1300.0,0,0
698000,  Balikpapan Tengah,40.0,78.0,SHM,Non-furnished,2,1,1300.0,0,0
1800000,  Balikpapan Tengah,114.0,90.0,SHM,Non-furnished,7,3,2200.0,0,0
1800000,  Balikpapan Utara,72.0,800.0,SHM,Non-furnished,3,1,1300.0,0,0
700000,  Batu Ampar,96.0,100.0,HGB,Non-furnished,2,1,1300.0,0,0
1800000,  Balikpapan Selatan,100.0,208.0,SHM,Fully-furnished,3,3,5500.0,1,0
2500000,  Balikpapan Selatan,116.0,240.0,HGB,Non-furnished,3,2,1300.0,1,1
725000,  Balikpapan Selatan,120.0,120.0,SHM,Non-furnished,3,1,3500.0,0,0
1250000,  Balikpapan Selatan,120.0,97.0,SHM,Fully-furnished,3,2,4400.0,0,0
950000,  Balikpapan Selatan,170.0,155.0,SHM,Non-furnished,3,2,2200.0,0,0
1060000,  Balikpapan Tengah,65.0,90.0,SHM,Non-furnished,3,3,2200.0,0,0
780000,  Balikpapan Tengah,45.0,84.0,SHM,Non-furnished,3,1,1300.0,0,0
4550000,  Balikpapan Utara,310.0,475.0,SHM,Fully-furnished,4,3,2200.0,0,0
1870000,  Balikpapan Selatan,110.0,180.0,SHM,Non-furnished,4,3,2200.0,0,0
2650000,  Balikpapan Selatan,180.0,221.0,SHM,Semi-furnished,4,2,2200.0,0,0
1810000,  Balikpapan Utara,61.0,108.0,SHM,Non-furnished,2,2,2200.0,0,0
7700000,  Balikpapan Selatan,341.0,558.0,SHM,Semi-furnished,5,0,5500.0,1,0
2000000,  Balikpapan Tengah,120.0,268.0,SHM,Non-furnished,3,3,1300.0,0,0
950000,  Balikpapan Selatan,70.0,120.0,SHM,Semi-furnished,3,1,2200.0,1,0
1840000,  Balikpapan Utara,90.0,250.0,SHM,Semi-furnished,3,1,3500.0,0,0
2500000,  Balikpapan Selatan,150.0,145.0,SHM,Non-furnished,3,3,2200.0,1,1
1900000,  Balikpapan Utara,200.0,180.0,SHM,Non-furnished,5,4,2200.0,0,0
500000,  Balikpapan Selatan,40.0,78.0,SHM,Semi-furnished,2,1,1300.0,0,0
2000000,  Balikpapan Utara,70.0,294.0,SHM,Semi-furnished,3,1,2200.0,0,0
1300000,  Balikpapan Selatan,92.0,150.0,SHM,Non-furnished,2,1,1300.0,1,0
500000,  Balikpapan Selatan,36.0,84.0,HGB,Non-furnished,2,1,1300.0,0,0
650000,  Balikpapan Selatan,100.0,100.0,SHM,Non-furnished,2,1,1300.0,0,0
450000,  Balikpapan Selatan,100.0,100.0,HGB,Non-furnished,1,1,900.0,0,0
3950000,  Balikpapan Selatan,200.0,180.0,HGB,Fully-furnished,3,3,2200.0,1,1
