Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
1200000000," Balikpapan, Balikpapan Utara",Rumah,Primary,47.0,72.0,PPJB,Non-furnished
1800000000," Balikpapan, Balikpapan Utara",Rumah,,72.0,800.0,SHM,
700000000," Balikpapan, Batu Ampar",Rumah,,96.0,100.0,HGB,
1800000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,100.0,208.0,SHM,Fully-furnished
2500000000," Balikpapan, Balikpapan Selatan",Rumah,Primary,116.0,240.0,HGB,Non-furnished
725000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,120.0,120.0,SHM,Non-furnished
1250000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,120.0,97.0,SHM,Fully-furnished
950000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,170.0,155.0,SHM,Non-furnished
1060000000," Balikpapan, Balikpapan Tengah",Rumah,Primary,65.0,90.0,SHM,Non-furnished
780000000," Balikpapan, Balikpapan Tengah",Rumah,Primary,45.0,84.0,SHM,
4550000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,310.0,475.0,SHM,Fully-furnished
1870000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,110.0,180.0,SHM,Non-furnished
2650000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,180.0,221.0,SHM,Semi-furnished
1810000000," Balikpapan, Balikpapan Utara",Rumah,Primary,61.0,108.0,SHM,Non-furnished
7700000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,341.0,558.0,SHM,Semi-furnished
2000000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,120.0,268.0,SHM,
950000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,70.0,120.0,SHM,Semi-furnished
